experiment,policy,arrival_rate,break_time_s,block_interval_s,legacy_fraction,control_v,verify_budget_per_block,block_bytes,surge_multiplier,exposure_target,attack_rate,vulnerable_cap,pq_max_wait,commit_reveal,commit_bytes,migration_budget,deadline_order,duration_blocks,expired_last,legacy_commit_reveal,expired_order,backfill,builder_break_time_s,fee_tiers,fee_model,attack_fee,adopt_share,adopt_by_value,forger_fee,adversary,inclusion_ratio_mean,inclusion_ratio_ci95,at_risk_fraction_mean,at_risk_fraction_ci95,at_risk_fraction_legacy_mean,at_risk_fraction_legacy_ci95,window_mean_s_mean,window_mean_s_ci95,window_p95_s_mean,window_p95_s_ci95,window_legacy_mean_s_mean,window_legacy_mean_s_ci95,window_legacy_p95_s_mean,window_legacy_p95_s_ci95,throughput_tps_mean,throughput_tps_ci95,bytes_per_tx_mean,bytes_per_tx_ci95,mean_pending_tx_mean,mean_pending_tx_ci95,exposure_floor_mean,exposure_floor_ci95,verify_per_tx_mean,verify_per_tx_ci95,share_ecdsa_mean,share_ecdsa_ci95,share_falcon_mean,share_falcon_ci95,share_mldsa_mean,share_mldsa_ci95,share_hybrid_mean,share_hybrid_ci95,inclusion_ratio_pq_mean,inclusion_ratio_pq_ci95,attacker_included_tps_mean,attacker_included_tps_ci95,attacker_block_share_mean,attacker_block_share_ci95,latency_mean_s_mean,latency_mean_s_ci95,commit_bytes_per_tx_mean,commit_bytes_per_tx_ci95,at_risk_fraction_vuln_mean,at_risk_fraction_vuln_ci95,window_vuln_mean_s_mean,window_vuln_mean_s_ci95,window_vuln_p95_s_mean,window_vuln_p95_s_ci95,pending_measured_end_mean,pending_measured_end_ci95,window_vuln_p99_s_mean,window_vuln_p99_s_ci95,window_vuln_max_s_mean,window_vuln_max_s_ci95,window_vuln_p95_cens_s_mean,window_vuln_p95_cens_s_ci95,window_vuln_p99_cens_s_mean,window_vuln_p99_cens_s_ci95,lost_fraction_vuln_mean,lost_fraction_vuln_ci95,lost_fraction_legacy_mean,lost_fraction_legacy_ci95,lost_fraction_norule_vuln_mean,lost_fraction_norule_vuln_ci95,lost_fraction_norule_legacy_mean,lost_fraction_norule_legacy_ci95,adopter_block_share_mean,adopter_block_share_ci95,block_value_ratio_mean,block_value_ratio_ci95,block_value_ratio_geo_mean,block_value_ratio_geo_ci95,adv_feasible_mean,adv_feasible_ci95,adv_count_k1_mean,adv_count_k1_ci95,adv_count_k11_mean,adv_count_k11_ci95,adv_count_k100_mean,adv_count_k100_ci95,adv_count_k1000_mean,adv_count_k1000_ci95,adv_value116_k1_mean,adv_value116_k1_ci95,adv_value116_k11_mean,adv_value116_k11_ci95,adv_value116_k100_mean,adv_value116_k100_ci95,adv_value116_k1000_mean,adv_value116_k1000_ci95,adv_value150_k1_mean,adv_value150_k1_ci95,adv_value150_k11_mean,adv_value150_k11_ci95,adv_value150_k100_mean,adv_value150_k100_ci95,adv_value150_k1000_mean,adv_value150_k1000_ci95,adv_value200_k1_mean,adv_value200_k1_ci95,adv_value200_k11_mean,adv_value200_k11_ci95,adv_value200_k100_mean,adv_value200_k100_ci95,adv_value200_k1000_mean,adv_value200_k1000_ci95
ablation,ecdsa-ordered,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,newest,False,0.0,0,iid,iid,1.0,,False,False,0.9909423395032183,0.004952866621526722,0.12498482221874888,0.010877602799745416,0.12491396999544425,0.010808380024339877,91.3201141434064,16.974305720588998,473.3333333333333,105.45923110408606,91.33298267977933,16.9595398143808,473.53333333333336,105.86527725108404,49.34927777777777,0.977993134756587,355.0,0.0,5173.245176666662,1102.0576467374683,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,91.3201141434064,16.974305720588998,0.0,0.0,0.12498482221874888,0.010877602799745416,91.3201141434064,16.974305720588998,473.3333333333333,105.45923110408606,5548.433333333333,3125.177827798048,1466.3333333333333,358.8863691693291,2218.56,481.998992098629,535.2666666666667,132.6628876994462,1577.3333333333333,380.8345225302433,0.0,0.0,0.0,0.0,0.12498482221874888,0.010877602799745416,0.12491396999544425,0.010808380024339877,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,ecdsa-ordered,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9909423395032183,0.004952866621526722,0.12498482221874888,0.010877602799745416,0.12491004773656772,0.010825384393999809,96.27583619029566,18.145348969862013,673.0,169.7356207898142,96.27110678615757,18.116725871515463,672.2,169.64864768408162,49.34927777777777,0.977993134756587,355.0,0.0,5173.245176666662,1102.0576467374683,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,96.27583619029566,18.145348969862013,0.0,0.0,0.12498482221874888,0.010877602799745416,96.27583619029566,18.145348969862013,673.0,169.7356207898142,5548.433333333333,3125.177827798048,1102.8,212.12382259467796,1336.3200000000002,226.74346158250515,685.1333333333333,171.8854582845633,1135.8666666666666,211.82653817754112,0.0,0.0,0.0,0.0,0.12498482221874888,0.010877602799745416,0.12491004773656772,0.010825384393999809,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,fee-optimal,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9909423395032183,0.004952866621526722,0.5038300522444084,0.053236074777615806,0.503928212838137,0.053266176431621126,102.07968049923286,20.045863827676307,302.6666666666667,55.805413344631276,102.1406582614041,20.079933803036084,302.8666666666667,55.855654491890235,49.34927777777777,0.977993134756587,355.0,0.0,5173.245176666662,1102.0576467374683,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,102.07968049923286,20.045863827676307,0.0,0.0,0.5038300522444084,0.053236074777615806,102.07968049923286,20.045863827676307,302.6666666666667,55.805413344631276,5548.433333333333,3125.177827798048,373.6666666666667,62.224123098503306,407.0000000000002,62.936526719789526,302.93333333333334,55.71691202897864,373.6666666666667,62.20310233980133,0.0,0.0,0.0,0.0,0.5038300522444084,0.053236074777615806,0.503928212838137,0.053266176431621126,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,hybrid-only,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.05935913021177466,0.005454299739712035,0.8785900045415097,0.010003762356825378,1.0,0.0,9077.533760675009,289.73580867844146,3599.0,0.0,9078.429609240051,289.44403149010924,3599.0,0.0,2.961383333333333,0.2871583587177106,2966.9549932914792,3.8609214198251647,304352.4352400001,7373.372723626778,0.0,0.0,1.489916531431948,0.0007241814024321884,0.2999110453909284,0.0002368970845134066,0.0,0.0,0.0,0.0,0.7000889546090716,0.00023689708451340947,0.059350598849701626,0.0054695794217461055,0.0,0.0,0.0,0.0,9077.533760675009,289.73580867844146,0.0,0.0,1.0,0.0,9078.429609240051,289.44403149010924,3599.0,0.0,562203.1666666666,11749.982070020216,3599.0,0.0,11254.56,96.73516655493418,3599.0,0.0,3599.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,qsentry,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,False,True,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9668422053674987,0.00457642315880877,0.12561516306030024,0.011359302703742144,0.12229255146823086,0.01082377767842316,187.98988699354476,16.788578651494838,963.0,136.00852240759568,87.23442481242388,16.25180348782648,579.6,149.11698310202922,48.13803333333333,0.868490425317002,424.20731714528415,8.637917281143825,12251.188953333332,1442.201018043052,0.0,0.0,0.9786397169304677,0.002666023852204984,0.9289393061674545,0.004665428889475854,0.07106069383254546,0.004665428889475853,0.0,0.0,0.0,0.0,0.6305990836724037,0.04492866002815478,0.0,0.0,0.0,0.0,187.98988699354476,16.788578651494838,0.0,0.0,0.13143761069685256,0.011308364992215797,92.87696943376663,17.245648988762763,612.2666666666667,154.46692699777242,20083.366666666665,3053.2412816098154,981.4,183.01387331347257,1189.2800000000002,198.57364812399567,618.7333333333333,155.40438081982438,1001.2,185.35832589753153,0.0,0.0,0.0,0.0,0.13143761069685256,0.011308364992215797,0.12229255146823086,0.01082377767842316,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,qsentry,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,False,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9844500124067623,0.006830898881127979,0.6969481524434048,0.03200079342685625,0.7177297268492301,0.03148072295443362,188.82786280542953,31.624167470932374,466.46666666666664,64.08104105166126,188.87036460521,31.68606872866392,466.4,64.17197799733238,49.03853611111111,1.0774276703554224,386.9278878474787,7.1845368187291205,9488.080606666665,1709.9708915630783,0.0,0.0,0.9901457136273212,0.0022174496354102546,0.9784334100186809,0.004806795082240859,0.021566589981319155,0.00480679508224086,0.0,0.0,0.0,0.0,0.9962547837255277,0.005457188782061665,0.0,0.0,0.0,0.0,188.82786280542953,31.624167470932374,0.0,0.0,0.7121770031200688,0.031998005301606715,189.0457096153206,31.97986885788396,467.6666666666667,64.12196439009226,9277.333333333334,4143.871482372886,540.9333333333333,69.0867771789576,573.08,69.83619597585276,467.6,63.951322825270736,540.8666666666667,69.13226257125787,0.0,0.0,0.0,0.0,0.7121770031200688,0.031998005301606715,0.7177297268492301,0.03148072295443362,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,qsentry,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,False,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9898753342317107,0.005099645471550503,0.47865500460743526,0.056855024449535746,0.4793438001089731,0.057053300252306476,114.9065757569872,20.269396755212256,315.26666666666665,54.01661639470976,97.7194236705891,19.758654469702325,296.0,55.775307850225474,49.29794166666667,0.9910412785266665,384.52451355718404,6.509831425182442,5893.894996666661,1135.2721622265901,0.0,0.0,0.9908874958156837,0.0020092072299946707,0.9785561874419955,0.0048298891615656744,0.021443812558004552,0.004829889161565679,0.0,0.0,0.0,0.0,0.9433063190481398,0.0282252788581365,0.0,0.0,0.0,0.0,114.9065757569872,20.269396755212256,0.0,0.0,0.4870901377834437,0.05653965268789615,98.89747804591593,19.984902324269814,297.0,55.899044463712485,6164.466666666666,3220.1467333533146,368.1333333333333,61.61327934961562,400.92000000000024,62.15872294575704,296.8,55.67301163488033,367.8666666666667,61.4695268736595,0.0,0.0,0.0,0.0,0.4870901377834437,0.05653965268789615,0.4793438001089731,0.057053300252306476,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,qsentry,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9896797894697866,0.0051912266435816135,0.12058426903729552,0.011974268082069438,0.12034879535726697,0.011908425820728374,111.50583975802601,18.336032506776096,715.9333333333333,159.24601245061797,92.07903800581758,17.62591818143732,640.3333333333334,169.44024009517307,49.28725,0.9853766300249933,385.0115591881387,6.677288361474804,6057.345876666663,1175.7240310996985,0.0,0.0,0.9907371730900807,0.002060891469590972,0.978027526543335,0.004861090660002479,0.02197247345666495,0.00486109066000248,0.0,0.0,0.0,0.0,0.9312137926848503,0.029670038090021143,0.0,0.0,0.0,0.0,111.50583975802601,18.336032506776096,0.0,0.0,0.12281851181649223,0.011867662463276293,93.4377975011334,17.86801765307896,647.8,168.31557969208146,6292.766666666666,3282.0830827046466,1052.4,210.96968369574947,1290.16,223.53676161453382,660.7333333333333,170.8043250301469,1078.6,215.65321354309606,0.0,0.0,0.0,0.0,0.12281851181649223,0.011867662463276293,0.12034879535726697,0.011908425820728374,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablation,qsentry-no-vq,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,False,0.9901685950370832,0.005109654812491637,0.11985230669039855,0.011609796783978048,0.11972380495204056,0.011526290143052535,107.17909323619999,17.71685658276517,711.1333333333333,164.82459917115426,92.2375916401397,17.455660568335357,650.5333333333333,167.82090909633573,49.31116111111111,0.9820829729899039,381.31767816671436,6.586981670550469,5827.28757333333,1131.145003094028,0.0,0.0,0.991877259825088,0.0020330190341205454,0.9809795679307041,0.00476216855796745,0.019020432069296024,0.004762168557967448,0.0,0.0,0.0,0.0,0.9469665519952906,0.027215313070065448,0.0,0.0,0.0,0.0,107.17909323619999,17.71685658276517,0.0,0.0,0.12176452897024694,0.011467693618551406,93.29596248472542,17.657335014346344,654.6,167.8921417586526,6005.833333333333,3231.889848227556,1061.2,210.9357876435882,1300.6,220.44529272880283,668.0,170.19578313605385,1085.6,215.68636377417528,0.0,0.0,0.0,0.0,0.12176452897024694,0.011467693618551406,0.11972380495204056,0.011526290143052535,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adoption,ecdsa-fee,32.0,60.0,12.0,0.3,8.0,40000.0,250000.0,4.0,0.02,0.0,1.0,inf,False,100.0,True,True,1100,True,False,oldest,False,0.0,8,iid,iid,0.0,,False,False,0.41860374159955555,0.04614956425958151,0.01608141383680346,0.012213105977908817,0.016161288092653766,0.012362269702938343,11.306491055040816,0.2347818469243169,42.0,1.014353515797,11.30885185228735,0.23191621296889534,42.13333333333333,0.9939239137248606,20.544663888888888,1.871956932177117,355.0,0.0,5173.245176666662,1102.0576467374683,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,11.306491055040816,0.2347818469243169,0.0,0.0,0.01608141383680346,0.012213105977908817,11.306491055040816,0.2347818469243169,42.0,1.014353515797,5548.433333333333,3125.177827798048,56.8,0.22787376602733792,60.0,0.0,63.46666666666667,23.031400036311123,98.73333333333333,35.29536870884206,0.5801155271242096,0.04637590671566048,0.5800801124008801,0.04646793738759214,0.5801155271242096,0.04637590671566048,0.5800801124008801,0.04646793738759214,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
