time_s,pending_tx,drain_s,vulnerable_drain_s,predicted_window_s,vulnerable_window_s,virtual
0.0,48,0.8179200000000001,0.8179200000000001,6.81792,6.81792,0.0
12.0,47,0.80088,0.80088,6.80088,6.80088,0.0
24.0,43,0.73272,0.73272,6.7327200000000005,6.7327200000000005,0.0
36.0,48,0.8179200000000001,0.8179200000000001,6.81792,6.81792,0.0
48.0,53,0.90312,0.90312,6.90312,6.90312,0.0
60.0,164,2.79456,2.79456,8.79456,8.79456,0.0
72.0,1376,23.44704,23.44704,29.44704,29.44704,0.0
84.0,2484,42.327360000000006,42.327360000000006,48.327360000000006,48.327360000000006,0.0
96.0,3595,61.2588,61.2588,67.25880000000001,67.25880000000001,0.0
108.0,4734,80.66736,80.66736,86.66736,86.66736,0.0
120.0,5712,97.33248,97.33248,103.33248,103.33248,0.0
132.0,5444,92.76576,92.76576,98.76576,98.76576,0.0
144.0,5210,88.7784,88.7784,94.7784,94.7784,0.0
156.0,4922,83.87088,83.87088,89.87088,89.87088,15.050526315789472
168.0,4659,79.38936000000001,79.38936000000001,85.38936000000001,85.38936000000001,33.20631578947368
180.0,4388,74.77152000000001,74.77152000000001,80.77152000000001,80.77152000000001,51.362105263157886
192.0,4173,71.10792000000001,71.10792000000001,77.10792000000001,77.10792000000001,69.5178947368421
204.0,3952,67.34208000000001,67.34208000000001,73.34208000000001,73.34208000000001,87.6736842105263
216.0,3706,64.829856,62.74128,70.829856,68.74128,105.82947368421051
228.0,3497,63.647952000000004,58.60056,69.647952,64.60056,123.98526315789472
240.0,3334,74.79724800000001,52.432080000000006,80.79724800000001,58.432080000000006,142.14105263157893
252.0,3087,86.12481600000001,44.44032,92.12481600000001,50.44032,160.29684210526312
264.0,2850,98.60256000000001,36.3804,104.60256000000001,42.3804,178.45263157894732
276.0,2604,110.01715200000001,28.388640000000002,116.01715200000001,34.38864,196.6084210526315
288.0,2362,121.149984,20.550240000000002,127.149984,26.550240000000002,212.07999999999993
300.0,2277,141.046704,13.90464,147.046704,19.90464,218.28842105263152
312.0,3508,172.03065600000002,32.444160000000004,178.03065600000002,38.444160000000004,217.91789473684204
