time_s,pending_tx,drain_s,vulnerable_drain_s,predicted_window_s,vulnerable_window_s,virtual
0.0,41,0.69864,0.69864,6.69864,6.69864,0.0
12.0,39,0.66456,0.66456,6.66456,6.66456,0.0
24.0,36,0.61344,0.61344,6.61344,6.61344,0.0
36.0,40,0.6816000000000001,0.6816000000000001,6.6816,6.6816,0.0
48.0,37,0.63048,0.63048,6.63048,6.63048,0.0
60.0,50,0.8520000000000001,0.8520000000000001,6.852,6.852,0.0
72.0,47,0.80088,0.80088,6.80088,6.80088,0.0
84.0,30,0.5112,0.5112,6.5112,6.5112,0.0
96.0,44,0.7497600000000001,0.7497600000000001,6.74976,6.74976,0.0
108.0,36,0.61344,0.61344,6.61344,6.61344,0.0
120.0,159,2.70936,2.70936,8.70936,8.70936,0.0
132.0,947,16.13688,16.13688,22.13688,22.13688,0.0
144.0,1724,29.37696,29.37696,35.37696,35.37696,0.0
156.0,2491,42.44664,42.44664,48.44664,48.44664,0.0
168.0,2170,36.976800000000004,36.976800000000004,42.976800000000004,42.976800000000004,0.0
180.0,1936,32.98944,32.98944,38.98944,38.98944,0.0
192.0,2828,48.18912,48.18912,54.18912,54.18912,0.0
204.0,3706,63.150240000000004,63.150240000000004,69.15024,69.15024,0.0
216.0,4593,78.26472000000001,78.26472000000001,84.26472000000001,84.26472000000001,0.0
228.0,5456,92.97024,92.97024,98.97024,98.97024,0.0
240.0,6286,107.11344000000001,107.11344000000001,113.11344000000001,113.11344000000001,0.0
252.0,7090,120.81360000000001,120.81360000000001,126.81360000000001,126.81360000000001,0.0
264.0,7935,135.2124,135.2124,141.2124,141.2124,21.56
276.0,8795,149.8668,149.8668,155.8668,155.8668,43.12
288.0,9508,162.01632,162.01632,168.01632,168.01632,64.67999999999999
300.0,9163,156.13752,156.13752,162.13752,162.13752,86.24
312.0,8847,150.75288,150.75288,156.75288,156.75288,107.8
324.0,8530,145.3512,145.3512,151.3512,151.3512,129.35999999999999
336.0,8183,139.43832,139.43832,145.43832,145.43832,150.92
348.0,7872,134.13888,134.13888,140.13888,140.13888,172.48
360.0,7561,128.83944,128.83944,134.83944,134.83944,194.04
372.0,7291,126.198192,123.76152,132.198192,129.76152000000002,215.6
384.0,6970,131.645856,115.63344000000001,137.645856,121.63344000000001,237.16
396.0,6659,143.49249600000002,106.15920000000001,149.49249600000002,112.15920000000001,258.71999999999997
408.0,6356,158.34480000000002,96.12264,164.34480000000002,102.12264,280.28
420.0,6033,171.31665600000002,86.12016,177.31665600000002,92.12016,301.84
432.0,5712,185.372352,75.89616000000001,191.372352,81.89616000000001,323.4
444.0,5390,198.641184,65.84256,204.641184,71.84256,344.96
456.0,5059,211.616688,55.66968000000001,217.616688,61.66968000000001,366.52
468.0,4756,225.83913600000002,45.786480000000005,231.83913600000002,51.786480000000005,388.08
480.0,4458,240.07680000000002,36.005520000000004,246.07680000000002,42.005520000000004,409.64
492.0,4108,252.378624,25.59408,258.378624,31.59408,431.2
504.0,3797,266.744688,15.506400000000001,272.744688,21.5064,452.76
516.0,3472,279.542496,5.50392,285.542496,11.50392,466.195
528.0,3376,293.303136,0.11928000000000001,299.303136,6.11928,465.930625
540.0,3457,299.23233600000003,0.39192000000000005,305.23233600000003,6.39192,465.786875
552.0,3471,301.430448,0.15336,307.430448,6.15336,465.60562500000003
564.0,3475,301.70856000000003,0.17040000000000002,307.70856000000003,6.1704,465.406875
576.0,3478,301.82966400000004,0.20448000000000002,307.82966400000004,6.20448,465.19687500000003
588.0,3464,300.611328,0.20448000000000002,306.611328,6.20448,465.01562500000006
600.0,3456,300.475008,0.06816,306.475008,6.06816,464.83000000000004
612.0,3478,302.17958400000003,0.11928000000000001,308.17958400000003,6.11928,464.63250000000005
624.0,3465,301.25822400000004,0.06816,307.25822400000004,6.06816,464.41812500000003
636.0,3472,301.23753600000003,0.22152000000000002,307.23753600000003,6.22152,464.2275
648.0,3594,309.754944,0.73272,315.754944,6.7327200000000005,464.04562500000003
660.0,4369,322.96094400000004,13.93872,328.96094400000004,19.93872,463.60562500000003
672.0,5126,335.860224,26.838,341.860224,32.838,463.16562500000003
684.0,4777,329.913264,20.89104,335.913264,26.89104,462.72562500000004
696.0,4481,324.86942400000004,15.8472,330.86942400000004,21.8472,462.28562500000004
708.0,4271,321.291024,12.2688,327.291024,18.2688,461.84562500000004
720.0,5088,335.21270400000003,26.19048,341.21270400000003,32.19048,461.40562500000004
732.0,5908,349.18550400000004,40.16328,355.18550400000004,46.16328,460.96562500000005
744.0,6729,363.175344,54.15312,369.175344,60.15312,460.52562500000005
756.0,7570,377.505984,68.48376,383.505984,74.48376,460.08562500000005
768.0,8300,389.94518400000004,80.92296,395.94518400000004,86.92296,459.64562500000005
