time_s,pending_tx,drain_s,vulnerable_drain_s,predicted_window_s,vulnerable_window_s,virtual
924.0,7476,127.39104,127.39104,133.39104,133.39104,793.5687499999982
936.0,7167,122.12568,122.12568,128.12568,128.12568,815.1287499999981
948.0,6959,118.58136,118.58136,124.58136,124.58136,836.6887499999981
960.0,7775,132.48600000000002,132.48600000000002,138.48600000000002,138.48600000000002,858.248749999998
972.0,8641,147.24264,147.24264,153.24264,153.24264,879.808749999998
984.0,9367,159.61368000000002,159.61368000000002,165.61368000000002,165.61368000000002,901.3687499999979
996.0,9071,154.56984,154.56984,160.56984,160.56984,922.9287499999979
1008.0,8702,148.28208,148.28208,154.28208,154.28208,944.4887499999978
1020.0,8371,142.64184,142.64184,148.64184,148.64184,966.0487499999978
1032.0,8037,136.95048,136.95048,142.95048,142.95048,987.6087499999977
1044.0,7705,131.2932,131.2932,137.2932,137.2932,1009.1687499999977
1056.0,7393,125.97672,125.97672,131.97672,131.97672,1030.7287499999977
1068.0,7062,120.33648000000001,120.33648000000001,126.33648000000001,126.33648000000001,1052.2887499999977
1080.0,6751,115.03704,115.03704,121.03704,121.03704,1073.8487499999976
1092.0,6454,109.97616000000001,109.97616000000001,115.97616000000001,115.97616000000001,1095.4087499999976
1104.0,6127,104.40408000000001,104.40408000000001,110.40408000000001,110.40408000000001,1116.9687499999975
1116.0,5823,99.22392,99.22392,105.22392,105.22392,1138.5287499999974
1128.0,5600,95.424,95.424,101.424,101.424,1160.0887499999974
1140.0,6421,109.41384000000001,109.41384000000001,115.41384000000001,115.41384000000001,1181.6487499999973
1152.0,7222,123.06288,123.06288,129.06288,129.06288,1203.2087499999973
1164.0,8039,136.98456000000002,136.98456000000002,142.98456000000002,142.98456000000002,1224.7687499999972
1176.0,8906,151.75824,151.75824,157.75824,157.75824,1246.3287499999972
1188.0,9841,167.69064,167.69064,173.69064,173.69064,1267.8887499999971
1200.0,10616,180.89664000000002,180.89664000000002,186.89664000000002,186.89664000000002,1289.448749999997
1212.0,10307,175.63128,175.63128,181.63128,181.63128,1311.008749999997
1224.0,9989,170.21256,170.21256,176.21256,176.21256,1332.568749999997
1236.0,9642,164.29968000000002,164.29968000000002,170.29968000000002,170.29968000000002,1354.128749999997
1248.0,9326,158.91504,158.91504,164.91504,164.91504,1375.6887499999968
1260.0,8997,153.30888000000002,153.30888000000002,159.30888000000002,159.30888000000002,1397.2487499999968
1272.0,8691,148.09464,148.09464,154.09464,154.09464,1418.8087499999967
1284.0,8359,142.43736,142.43736,148.43736,148.43736,1440.3687499999967
1296.0,8044,137.06976,137.06976,143.06976,143.06976,1461.9287499999966
1308.0,7731,131.73624,131.73624,137.73624,137.73624,1483.4887499999966
1320.0,7448,126.91392,126.91392,132.91392000000002,132.91392000000002,1505.0487499999965
1332.0,7139,121.64856,121.64856,127.64856,127.64856,1526.6087499999965
1344.0,6791,115.71864000000001,115.71864000000001,121.71864000000001,121.71864000000001,1548.1687499999964
1356.0,6482,110.45328,110.45328,116.45328,116.45328,1569.7287499999964
1368.0,6155,104.8812,104.8812,110.8812,110.8812,1591.2887499999963
1380.0,5856,99.78624,99.78624,105.78624,105.78624,1612.8487499999962
1392.0,5537,94.35048,94.35048,100.35048,100.35048,1634.4087499999962
1404.0,5200,88.608,88.608,94.608,94.608,1655.9687499999961
1416.0,4859,82.79736000000001,82.79736000000001,88.79736000000001,88.79736000000001,1677.528749999996
1428.0,4546,77.46384,77.46384,83.46384,83.46384,1699.088749999996
1440.0,4221,71.92584000000001,71.92584000000001,77.92584000000001,77.92584000000001,1720.648749999996
1452.0,3925,66.882,66.882,72.882,72.882,1742.208749999996
1464.0,3605,61.4292,61.4292,67.42920000000001,67.42920000000001,1763.7687499999959
1476.0,3275,55.806000000000004,55.806000000000004,61.806000000000004,61.806000000000004,1785.3287499999958
1488.0,2937,50.04648,50.04648,56.04648,56.04648,1806.8887499999958
1500.0,2601,44.32104,44.32104,50.32104,50.32104,1828.4487499999957
1512.0,2259,38.49336,38.49336,44.49336,44.49336,1850.0087499999956
1524.0,1919,32.699760000000005,32.699760000000005,38.699760000000005,38.699760000000005,1871.5687499999956
1536.0,1575,26.838,26.838,32.838,32.838,1884.2537499999955
1548.0,1247,21.24888,21.24888,27.24888,27.24888,1886.5324999999955
1560.0,951,16.20504,16.20504,22.20504,22.20504,1886.0924999999954
1572.0,639,10.88856,10.88856,16.88856,16.88856,1885.6524999999954
