arrival_rate,payload_bytes,legacy_fraction,block_interval_s,block_bytes,slots_per_block,duration_blocks,warmup_blocks,policy,seed,control_v,break_time_s,exposure_target,verify_budget_per_block,surge_multiplier,surge_enter,surge_leave,deadline_order,fixed_penalty,attack_rate,vulnerable_cap,pq_max_wait,commit_reveal,commit_bytes,trace_name,migration_budget,budget_margin,expired_last,legacy_commit_reveal,expired_order,backfill,builder_break_time_s,fee_tiers,fee_model,attack_fee,adopt_share,adopt_by_value,forger_fee,bump_at,adversary,throughput_tps,inclusion_ratio,at_risk_fraction,at_risk_fraction_legacy,at_risk_fraction_vuln,exposure_floor,window_mean_s,window_p95_s,window_legacy_mean_s,window_legacy_p95_s,window_vuln_mean_s,window_vuln_p95_s,window_vuln_p99_s,window_vuln_max_s,window_vuln_p95_cens_s,window_vuln_p99_cens_s,lost_fraction_vuln,lost_fraction_legacy,lost_fraction_norule_vuln,lost_fraction_norule_legacy,adopter_block_share,block_value_ratio,block_value_ratio_geo,mean_pending_tx,bytes_per_tx,verify_per_tx,generated,pending_measured_end,mean_offered_tps,inclusion_ratio_pq,latency_mean_s,commit_bytes_per_tx,attacker_included_tps,attacker_block_share,share_ecdsa,share_falcon,share_mldsa,share_hybrid,adv_feasible,adv_count_k1,adv_value116_k1,adv_value150_k1,adv_value200_k1,adv_count_k11,adv_value116_k11,adv_value150_k11,adv_value200_k11,adv_count_k100,adv_value116_k100,adv_value150_k100,adv_value200_k100,adv_count_k1000,adv_value116_k1000,adv_value150_k1000,adv_value200_k1000,experiment
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,11,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,28.853416666666668,1.0,0.016693574706634975,0.016607274276639425,0.016693574706634975,0.0,14.252000196394984,45.0,14.24140682496041,45.0,14.252000196394984,45.0,65.0,76.80000000000109,45.0,65.0,0.0,0.0,0.016693574706634975,0.016607274276639425,1.0,1.0,1.0,383.7059999999997,355.0,1.0,346241,0,28.853416666666668,,14.252000196394984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,12,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.238666666666667,0.9996253443526171,0.01610245160721372,0.016092396182520927,0.01610245160721372,0.0,15.2794270029543,47.0,15.225630598450358,47.0,15.2794270029543,47.0,63.0,79.20000000000073,47.0,63.0,0.0,0.0,0.01610245160721372,0.016092396182520927,1.0,1.0,1.0,425.7889999999984,355.0,1.0,363000,136,30.25,,15.2794270029543,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,13,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,31.91325,1.0,0.07307570784339838,0.07298058370560935,0.07307570784339838,0.0,20.04841249324344,69.0,20.017486832727865,69.0,20.04841249324344,69.0,89.0,102.0,69.0,89.0,0.0,0.0,0.07307570784339838,0.07298058370560935,1.0,1.0,1.0,601.5140999999999,355.0,1.0,382959,0,31.91325,,20.04841249324344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,14,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.576166666666666,1.0,0.0665714581618581,0.06630317042754803,0.0665714581618581,0.0,18.116021738063868,69.0,18.149613595608937,69.0,18.116021738063868,69.0,97.0,112.80000000000018,69.0,97.0,0.0,0.0,0.0665714581618581,0.06630317042754803,1.0,1.0,1.0,517.2271000000007,355.0,1.0,366914,0,30.576166666666666,,18.116021738063868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,15,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,29.606083333333334,1.0,0.027753305204729885,0.02792897631292466,0.027753305204729885,0.0,16.37670186025964,51.0,16.41566124854539,51.0,16.37670186025964,51.0,75.0,91.19999999999982,51.0,75.0,0.0,0.0,0.027753305204729885,0.02792897631292466,1.0,1.0,1.0,449.3227000000018,355.0,1.0,355273,0,29.606083333333334,,16.37670186025964,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,16,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.889333333333333,1.0,0.04864408425778046,0.04862797093788915,0.04864408425778046,0.0,18.37864203392754,61.0,18.415591768721594,61.0,18.37864203392754,61.0,85.0,103.20000000000073,61.0,85.0,0.0,0.0,0.04864408425778046,0.04862797093788915,1.0,1.0,1.0,530.636800000001,355.0,1.0,370672,0,30.889333333333333,,18.37864203392754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,17,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,29.64975,1.0,0.04324938096723693,0.04319796715448685,0.04324938096723693,0.0,16.073565544397567,57.0,16.0558543127382,57.0,16.073565544397567,57.0,91.0,110.40000000000055,57.0,91.0,0.0,0.0,0.04324938096723693,0.04319796715448685,1.0,1.0,1.0,440.9975000000015,355.0,1.0,355797,0,29.64975,,16.073565544397567,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,18,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,32.753166666666665,0.9981689307419005,0.017680224304011317,0.018285646403964295,0.017680224304011317,0.0,16.044418096978006,45.0,16.103787801649627,45.0,16.044418096978006,45.0,67.0,86.39999999999964,45.0,67.0,0.0,0.0,0.017680224304011317,0.018285646403964295,1.0,1.0,1.0,487.27439999999945,355.0,1.0,393759,721,32.81325,,16.044418096978006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,19,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,31.412916666666668,1.0,0.051173216962236874,0.051109027876043586,0.051173216962236874,0.0,18.43843747927473,61.0,18.470578038771762,61.0,18.43843747927473,61.0,85.0,102.0,61.0,85.0,0.0,0.0,0.051173216962236874,0.051109027876043586,1.0,1.0,1.0,541.5095999999983,355.0,1.0,376955,0,31.412916666666668,,18.43843747927473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,20,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,32.630583333333334,1.0,0.04253167401747338,0.04236429720550557,0.04253167401747338,0.0,19.022378290305447,57.0,18.991503306917707,57.0,19.022378290305447,57.0,85.0,99.59999999999991,57.0,85.0,0.0,0.0,0.04253167401747338,0.04236429720550557,1.0,1.0,1.0,581.554600000003,355.0,1.0,391567,0,32.630583333333334,,19.022378290305447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,21,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,31.3945,1.0,0.012974671784335897,0.01271556862433442,0.012974671784335897,0.0,15.822586758827264,45.0,15.798225118546242,45.0,15.822586758827264,45.0,63.0,85.20000000000073,45.0,63.0,0.0,0.0,0.012974671784335897,0.01271556862433442,1.0,1.0,1.0,460.25719999999905,355.0,1.0,376734,0,31.3945,,15.822586758827264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,22,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,31.472916666666666,1.0,0.016914013371284835,0.01625472188223692,0.016914013371284835,0.0,15.528093731382832,45.0,15.48604083932834,45.0,15.528093731382832,45.0,69.0,88.80000000000109,45.0,69.0,0.0,0.0,0.016914013371284835,0.01625472188223692,1.0,1.0,1.0,450.9468999999986,355.0,1.0,377675,0,31.472916666666666,,15.528093731382832,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,23,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,28.254166666666666,1.0,0.0,0.0,0.0,0.0,11.741567320454251,31.0,11.783427280762028,31.0,11.741567320454251,31.0,43.0,55.200000000000045,31.0,43.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,297.84319999999923,355.0,1.0,339050,0,28.254166666666666,,11.741567320454251,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,24,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.88325,0.9977009204394635,0.012509477899292767,0.01263498920086393,0.012509477899292767,0.0,15.340286401204505,43.0,15.364503239740827,43.0,15.340286401204505,43.0,63.0,85.19999999999982,43.0,63.0,0.0,0.0,0.012509477899292767,0.01263498920086393,1.0,1.0,1.0,438.39440000000224,355.0,1.0,371453,854,30.954416666666667,,15.340286401204505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,25,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,29.692333333333334,1.0,0.012385351998832471,0.012506440582697082,0.012385351998832471,0.0,14.41139688134994,43.0,14.398459881024877,43.0,14.41139688134994,43.0,63.0,79.19999999999959,43.0,63.0,0.0,0.0,0.012385351998832471,0.012506440582697082,1.0,1.0,1.0,392.2772000000016,355.0,1.0,356308,0,29.692333333333334,,14.41139688134994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,26,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,33.80275,0.9993889834705246,0.05580167294081103,0.056388048194352176,0.05580167294081103,0.0,19.92302105597922,63.0,19.967235058192493,63.0,19.92302105597922,63.0,79.0,90.0,63.0,79.0,0.0,0.0,0.05580167294081103,0.056388048194352176,1.0,1.0,1.0,634.4307999999976,355.0,1.0,405881,248,33.82341666666667,,19.92302105597922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,27,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,31.287333333333333,1.0,0.00550275937013914,0.005597031447877644,0.00550275937013914,0.0,14.641717628007125,41.0,14.645925768484895,43.0,14.641717628007125,41.0,55.0,73.19999999999982,41.0,55.0,0.0,0.0,0.00550275937013914,0.005597031447877644,1.0,1.0,1.0,420.55550000000017,355.0,1.0,375448,0,31.287333333333333,,14.641717628007125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,28,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,32.35625,1.0,0.011527911918099286,0.011712185326588126,0.011527911918099286,0.0,16.51878385165165,47.0,16.513095412512094,47.0,16.51878385165165,47.0,61.0,73.20000000000073,47.0,61.0,0.0,0.0,0.011527911918099286,0.011712185326588126,1.0,1.0,1.0,495.6827000000012,355.0,1.0,388275,0,32.35625,,16.51878385165165,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,29,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,33.0125,1.0,0.05612520509907863,0.05632582322357019,0.05612520509907863,0.0,20.4270897387354,63.0,20.501906412478366,63.0,20.4270897387354,63.0,81.0,98.40000000000055,63.0,81.0,0.0,0.0,0.05612520509907863,0.05632582322357019,1.0,1.0,1.0,634.7342999999996,355.0,1.0,396150,0,33.0125,,20.4270897387354,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-only,30,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,30.009166666666665,0.9917353095885281,0.03333148204715226,0.03231140839836492,0.03333148204715226,0.0,16.562812473966368,53.0,16.475139353400316,51.0,16.562812473966368,53.0,75.0,92.40000000000055,51.0,75.0,0.0,0.0,0.03333148204715226,0.03231140839836492,1.0,1.0,1.0,465.89449999999977,355.0,1.0,363111,3001,30.25925,,16.562812473966368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
20.0,250,0.3,12.0,250000.0,10,1100,100,ecdsa-ordered,1,8.0,60.0,0.02,40000.0,4.0,0.05,0.22,True,400.0,0.0,1.0,inf,False,100.0,,True,0.9,True,False,oldest,False,0.0,0,iid,iid,1.0,,False,0.5,False,28.547333333333334,1.0,0.0006013404637911305,0.0005740751551948937,0.0006013404637911305,0.0,13.172431750776601,37.0,13.175620293070223,37.0,13.172431750776601,37.0,51.0,86.39999999999964,37.0,51.0,0.0,0.0,0.0006013404637911305,0.0005740751551948937,1.0,1.0,1.0,341.78100000000035,355.0,1.0,342568,0,28.547333333333334,,13.172431750776601,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,congestion
